compress_at_step,compression_ratio,compress_scale,seed,original_path,compressed_path,PSNR,SSIM
2,1.0,1.0,42,original_seed42.png,step2_ratio1.0_seed42_compressed.png,18.41,0.7154
2,1.0,1.0,43,original_seed43.png,step2_ratio1.0_seed43_compressed.png,17.85,0.757
2,1.0,1.0,44,original_seed44.png,step2_ratio1.0_seed44_compressed.png,18.07,0.7234
2,1.0,1.0,45,original_seed45.png,step2_ratio1.0_seed45_compressed.png,18.96,0.7213
2,1.0,1.0,46,original_seed46.png,step2_ratio1.0_seed46_compressed.png,17.11,0.7
2,1.0,1.0,47,original_seed47.png,step2_ratio1.0_seed47_compressed.png,17.29,0.7018
2,1.0,1.0,48,original_seed48.png,step2_ratio1.0_seed48_compressed.png,15.76,0.6868
2,1.0,1.0,49,original_seed49.png,step2_ratio1.0_seed49_compressed.png,21.36,0.794
2,1.0,1.0,50,original_seed50.png,step2_ratio1.0_seed50_compressed.png,18.18,0.7252
2,1.0,1.0,51,original_seed51.png,step2_ratio1.0_seed51_compressed.png,16.32,0.6603
2,1.0,1.0,52,original_seed52.png,step2_ratio1.0_seed52_compressed.png,18.58,0.7289
2,1.0,1.0,53,original_seed53.png,step2_ratio1.0_seed53_compressed.png,17.38,0.7211
2,1.0,1.0,54,original_seed54.png,step2_ratio1.0_seed54_compressed.png,18.45,0.7436
2,1.0,1.0,55,original_seed55.png,step2_ratio1.0_seed55_compressed.png,18.9,0.7508
2,1.0,1.0,56,original_seed56.png,step2_ratio1.0_seed56_compressed.png,17.65,0.7263
2,1.0,1.0,57,original_seed57.png,step2_ratio1.0_seed57_compressed.png,17.32,0.6645
2,1.0,1.0,58,original_seed58.png,step2_ratio1.0_seed58_compressed.png,18.99,0.7276
2,1.0,1.0,59,original_seed59.png,step2_ratio1.0_seed59_compressed.png,17.56,0.6539
2,1.0,1.0,60,original_seed60.png,step2_ratio1.0_seed60_compressed.png,17.34,0.7092
2,1.0,1.0,61,original_seed61.png,step2_ratio1.0_seed61_compressed.png,18.29,0.723
2,1.0,1.0,62,original_seed62.png,step2_ratio1.0_seed62_compressed.png,17.88,0.6885
2,1.0,1.0,63,original_seed63.png,step2_ratio1.0_seed63_compressed.png,19.46,0.7278
2,1.0,1.0,64,original_seed64.png,step2_ratio1.0_seed64_compressed.png,18.73,0.7316
2,1.0,1.0,65,original_seed65.png,step2_ratio1.0_seed65_compressed.png,18.81,0.7653
2,1.0,1.0,66,original_seed66.png,step2_ratio1.0_seed66_compressed.png,16.68,0.6833
2,1.0,1.0,67,original_seed67.png,step2_ratio1.0_seed67_compressed.png,16.77,0.6633
2,1.0,1.0,68,original_seed68.png,step2_ratio1.0_seed68_compressed.png,18.44,0.7448
2,1.0,1.0,69,original_seed69.png,step2_ratio1.0_seed69_compressed.png,18.58,0.7564
2,1.0,1.0,70,original_seed70.png,step2_ratio1.0_seed70_compressed.png,17.98,0.7384
2,1.0,1.0,71,original_seed71.png,step2_ratio1.0_seed71_compressed.png,19.94,0.7565
2,1.0,1.0,72,original_seed72.png,step2_ratio1.0_seed72_compressed.png,18.68,0.774
2,1.0,1.0,73,original_seed73.png,step2_ratio1.0_seed73_compressed.png,18.02,0.7152
2,1.0,1.0,74,original_seed74.png,step2_ratio1.0_seed74_compressed.png,18.13,0.7428
2,1.0,1.0,75,original_seed75.png,step2_ratio1.0_seed75_compressed.png,17.76,0.7185
2,1.0,1.0,76,original_seed76.png,step2_ratio1.0_seed76_compressed.png,19.37,0.7932
2,1.0,1.0,77,original_seed77.png,step2_ratio1.0_seed77_compressed.png,16.91,0.6894
2,1.0,1.0,78,original_seed78.png,step2_ratio1.0_seed78_compressed.png,18.38,0.7059
2,1.0,1.0,79,original_seed79.png,step2_ratio1.0_seed79_compressed.png,17.44,0.6947
2,1.0,1.0,80,original_seed80.png,step2_ratio1.0_seed80_compressed.png,17.68,0.7194
2,1.0,1.0,81,original_seed81.png,step2_ratio1.0_seed81_compressed.png,18.95,0.7514
2,1.0,1.0,82,original_seed82.png,step2_ratio1.0_seed82_compressed.png,16.77,0.6878
2,1.0,1.0,83,original_seed83.png,step2_ratio1.0_seed83_compressed.png,19.98,0.7642
2,1.0,1.0,84,original_seed84.png,step2_ratio1.0_seed84_compressed.png,17.66,0.6859
2,1.0,1.0,85,original_seed85.png,step2_ratio1.0_seed85_compressed.png,18.2,0.7584
2,1.0,1.0,86,original_seed86.png,step2_ratio1.0_seed86_compressed.png,17.98,0.7402
2,1.0,1.0,87,original_seed87.png,step2_ratio1.0_seed87_compressed.png,16.93,0.6934
2,1.0,1.0,88,original_seed88.png,step2_ratio1.0_seed88_compressed.png,17.88,0.6996
2,1.0,1.0,89,original_seed89.png,step2_ratio1.0_seed89_compressed.png,16.5,0.6877
2,1.0,1.0,90,original_seed90.png,step2_ratio1.0_seed90_compressed.png,16.0,0.686
2,1.0,1.0,91,original_seed91.png,step2_ratio1.0_seed91_compressed.png,17.72,0.6948
2,0.9,1.11,42,original_seed42.png,step2_ratio0.9_seed42_compressed.png,18.94,0.745
2,0.9,1.11,43,original_seed43.png,step2_ratio0.9_seed43_compressed.png,18.54,0.7942
2,0.9,1.11,44,original_seed44.png,step2_ratio0.9_seed44_compressed.png,19.51,0.7831
2,0.9,1.11,45,original_seed45.png,step2_ratio0.9_seed45_compressed.png,19.46,0.733
2,0.9,1.11,46,original_seed46.png,step2_ratio0.9_seed46_compressed.png,17.06,0.7
2,0.9,1.11,47,original_seed47.png,step2_ratio0.9_seed47_compressed.png,17.69,0.735
2,0.9,1.11,48,original_seed48.png,step2_ratio0.9_seed48_compressed.png,16.21,0.7173
2,0.9,1.11,49,original_seed49.png,step2_ratio0.9_seed49_compressed.png,21.75,0.8045
2,0.9,1.11,50,original_seed50.png,step2_ratio0.9_seed50_compressed.png,20.28,0.7854
2,0.9,1.11,51,original_seed51.png,step2_ratio0.9_seed51_compressed.png,18.51,0.7331
2,0.9,1.11,52,original_seed52.png,step2_ratio0.9_seed52_compressed.png,19.15,0.7517
2,0.9,1.11,53,original_seed53.png,step2_ratio0.9_seed53_compressed.png,18.1,0.7458
2,0.9,1.11,54,original_seed54.png,step2_ratio0.9_seed54_compressed.png,18.96,0.7803
2,0.9,1.11,55,original_seed55.png,step2_ratio0.9_seed55_compressed.png,20.56,0.7816
2,0.9,1.11,56,original_seed56.png,step2_ratio0.9_seed56_compressed.png,17.85,0.7284
2,0.9,1.11,57,original_seed57.png,step2_ratio0.9_seed57_compressed.png,16.8,0.705
2,0.9,1.11,58,original_seed58.png,step2_ratio0.9_seed58_compressed.png,18.66,0.7661
2,0.9,1.11,59,original_seed59.png,step2_ratio0.9_seed59_compressed.png,19.26,0.7083
2,0.9,1.11,60,original_seed60.png,step2_ratio0.9_seed60_compressed.png,19.5,0.7614
2,0.9,1.11,61,original_seed61.png,step2_ratio0.9_seed61_compressed.png,18.29,0.7386
2,0.9,1.11,62,original_seed62.png,step2_ratio0.9_seed62_compressed.png,19.35,0.7349
